gene_id,gene_name,logFC,logCPM,PValue,FDR,seqnames,start,end,width,strand,entrezid,aveLen,maxLen,aveGc,longestGc,LR,DE,Status
ENSMUSG00000023031,Cela1,7.1614681167241345,9.022925610748686,1.9442931510880417e-69,2.065228185085718e-65,15,100674421,100687921,13501,-,109901,639.1111111111111,1108,53.981223922114054,54.5126353790614,310.2316482203461,TRUE,DE
ENSMUSG00000032265,Tent5a,1.3021520614082103,7.056328896114796,3.688640923405397e-65,1.9590371944206063e-61,9,85320439,85327348,6910,-,212943,5563.5,5648,43.24615799406851,43.7677053824363,290.59520777279204,TRUE,DE
ENSMUSG00000044258,Ctla2a,2.674425318946529,5.055755642256838,1.5338103400890267e-54,5.43071114414188e-51,13,60934155,60936625,2471,-,13024,791.6666666666666,1373,45.10877192982456,45.3750910415149,241.87548919018226,TRUE,DE
ENSMUSG00000029135,Fosl2,1.859649399734093,5.116776883698702,3.25721318459236e-52,8.649529611685013e-49,5,32135801,32157842,22042,+,14284,3905.3333333333335,6537,53.60191191532948,53.0824537249503,231.20366523750636,TRUE,DE
ENSMUSG00000024424,Ttc39c,1.2161491258128883,5.147723154633202,1.6329660408987861e-34,3.4690730572853813e-31,18,12599896,12738863,138968,+,72747,1976.75,4385,49.93044138105477,50.7411630558723,150.118872251359,TRUE,DE
ENSMUSG00000047180,Neurl3,0.759638554889308,7.012695536624223,1.2573455061974807e-31,2.0513515078895636e-28,1,36264597,36274679,10083,-,214854,1902,2598,53.995793901156695,52.7328714395689,136.9169630985983,TRUE,DE
ENSMUSG00000046447,Camk2n1,1.978886637977016,4.856400956702614,1.351860342235638e-31,2.0513515078895636e-28,4,138454314,138460123,5810,+,66259,4444,4444,53.7128712871287,53.7128712871287,136.7730421338135,TRUE,DE
ENSMUSG00000026069,Il1rl1,1.3638648713633283,8.971096269867951,1.2659357631386609e-30,1.680846209507357e-27,1,40429570,40465415,35846,+,17082,2921.4,5302,43.36277127404671,43.4175782723501,132.33174957217892,TRUE,DE
ENSMUSG00000039208,Metrnl,1.4419630782048851,5.160910102332251,1.9569046287949932e-30,2.3095823296733797e-27,11,121701544,121716306,14763,+,210029,1051.3333333333333,1401,56.02409638554216,58.1013561741613,131.46710436055628,TRUE,DE
ENSMUSG00000073102,Drc1,-0.681655464969714,6.848840942156563,2.370674334036951e-27,2.5181302776140495e-24,5,30281388,30366695,85308,+,381738,909.75,2471,50.86562242374279,52.0437070012141,117.37956040610939,TRUE,DE
ENSMUSG00000030717,Nupr1,4.928134788404064,4.5375459219709136,8.201666387419915e-27,7.919827306106758e-24,7,126623249,126630861,7613,-,56312,879,2449,52.52180508153203,49.897917517354,114.9180776996875,TRUE,DE (not in Spleen)
